Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
4/9/2020,0,0,0,0,0,0,0
4/10/2020,0,0,0,0,0,0,0
4/11/2020,0,0,0,0,0,0,0
4/12/2020,7,3,6,0.1,0,0,0
4/13/2020,6,5,3,6,5,7,6
4/14/2020,0,0,0,0,0,0,0
4/15/2020,0,0,0,0,0,0,0
4/16/2020,0,0,0,0,0,0,0
4/17/2020,0,0,0,0,0,0,0
4/18/2020,0,0,0,0,0,0,0
4/19/2020,0,0,0,0,0,0,0
4/20/2020,0,0,0,0,0,0,0
4/21/2020,0,0,0,0,0,0,0
4/22/2020,0,0,0,0,0,0,0
4/23/2020,0,0,0,0,0,0,0
4/24/2020,0,0,0,0,0,0,0
4/25/2020,4,17,27,0,0,6,2
4/26/2020,0,6,8,13,8,0,0
4/27/2020,93,30,24,0,0.4,96,70
4/28/2020,11,15,8,0,3,21,33
4/29/2020,0,0,0,0,0,0,0
4/30/2020,0,0,0,0,0.3,0,0
5/1/2020,0,0,0,0,0,0,0
5/2/2020,0,0,0,0,0,0,0
5/3/2020,0,0,0,0,0.5,2,0
5/4/2020,0,6,0,0,18,35,0
5/5/2020,0,0,0,0,0,0,0
5/6/2020,0,0,0,0,0,0,0
5/7/2020,0,0,0,0,0,0,0
5/8/2020,0,0,0,0,0,0,0
5/9/2020,0,0,0,0,0,0,0
5/10/2020,0,0,0,0,0,4,0
5/11/2020,0,0,0,0,0,0,0
5/12/2020,0,0,0,0,0,0,0
5/13/2020,0,0,0,0,0,0,0
5/14/2020,0,0,0,0,0,0,0
5/15/2020,0,0,0,0,0,0,0
5/16/2020,0,0,0,0,0,0,0
5/17/2020,0,0,0,0,0,0,0
5/18/2020,0,0,0,0,0,0,0
5/19/2020,0,0,0,0,0,0,0
5/20/2020,0,15,15,0,0,30,1
5/21/2020,0,25,15,9,14,38,6
5/22/2020,0,0.5,0,0,17,25,2
5/23/2020,0,0,0,0,0,0,0
5/24/2020,0,0,0,0,0,0,0
5/25/2020,0,0,0,0,0,0,0
5/26/2020,0,0,0,0,0,0,0
5/27/2020,0,0,0,0,0,0,0
5/28/2020,0,0,0,0,0,0,0
5/29/2020,0,0,0,0,0,0,0
5/30/2020,0,0,0,0,0.3,0,0
5/31/2020,0,0,0,0,0,0,0
6/1/2020,0,0,0,0,0,0,0
6/2/2020,0,0,0,0,0,0,0
6/3/2020,0,0,0,0,0,0,0
6/4/2020,0,0,0,19,9,27,0
6/5/2020,0.1,10,9,19,15,101,0.3
6/6/2020,0,0.3,0,0,0.2,3,0.1
6/7/2020,0,0,0,0,0,0.1,0
6/8/2020,0,0,0,0,0,0,0
6/9/2020,0,0,0,0,0,0,0
6/10/2020,0,0,0,0,0,0,0
6/11/2020,0,0,0,0,0.1,3,0
